INFO:     Will watch for changes in these directories: ['C:\\Users\\Administrator\\Documents\\git-rep\\ModularFinal\\kms-aichatbot-repository\\KMSChatbotProjAgenticAI']                                                
INFO:     Uvicorn running on http://0.0.0.0:8001 (Press CTRL+C to quit)                                     
INFO:     Started reloader process [9676] using WatchFiles                                                  
INFO:     Started server process [10288]                                                        
INFO:     Waiting for application startup.
INFO:     Application startup complete.
2026-08-18 18:38:53 | INFO     | app.api.routes.chat | [c5a0a17d] Received question: 'when obtaining the COA/COC for a transfer, is there more than one way to source it?'
2026-08-18 18:39:08 | INFO     | app.llm.bedrock_client | [c5a0a17d] [bedrock_client] Claude call took 10.33s, stop_reason='end_turn'
2026-08-18 18:39:08 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [generate_single_node] Claude's answer: {'description': 'Based on the retrieved documentation, only one method for obtaining the Certificate of Analysis (COA) is described - the shipment is expected to already include the COA with its documentation, and if it is missing, Customer Service is responsible for requesting it directly from the contact at the source plant before the shipment arrives. The documentation does not describe any additional or alternative sourcing paths for the COA/COC beyond this request-to-source-plant process, so if a different sourcing scenario applies, please let me know so I can check further.', 'header': 'Sourcing the COA/COC for a Transfer', 'subheader': '', 'references': ['WI - Cross Dock and Stock  in – Stock out  transactions  managed by  Customer Service at  Logistics Center Panama'], 'documentids': ['SOP-110381'], 'followupquestions': ['What happens if the LSP receives cargo without a COA?', 'Is a certificate of origin ever required in addition to the COA?'], 'steps': []}
2026-08-18 18:39:08 | INFO     | app.api.routes.chat | [c5a0a17d] Request completed successfully in 14.06s
INFO:     10.116.90.15:63618 - "POST /agent/v1/orchestrate/chat HTTP/1.1" 200 OK
2026-08-18 18:40:34 | INFO     | app.api.routes.chat | [a7c99688] Received question: 'what is the process for completing form-120141 during a market or consignment transfer, and can any of the steps happen at the same time?'
2026-08-18 18:40:34 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [retrieve_node] Question received: what is the process for completing form-120141 during a market or consignment transfer, and can any of the steps happen at the same time?
2026-08-18 18:40:35 | INFO     | botocore.credentials | Found credentials from IAM Role: CUSPFE-S3ListPolicyKMSRole
2026-08-18 18:40:35 | INFO     | app.vectordb.opensearch_client | [opensearch_client] Calling AWS as identity: Account=892880329963 Arn=arn:aws:sts::892880329963:assumed-role/CUSPFE-S3ListPolicyKMSRole/i-06d7279ee5a63fa0b
2026-08-18 18:40:35 | INFO     | app.vectordb.opensearch_client | [opensearch_client] Connection settings: HOST=mc9xamsc1uiy9cxgnwt9.aoss.ap-southeast-1.on.aws PORT=443 INDEX=kms-index-sop-oz SERVICE=aoss REGION=ap-southeast-1
2026-08-18 18:40:35 | INFO     | app.vectordb.opensearch_client | [a7c99688] [opensearch_client] Searching index: 'kms-index-sop-oz'
2026-08-18 18:40:35 | INFO     | app.vectordb.opensearch_client | [a7c99688] [opensearch_client] Hybrid query: knn on field 'embedding' (k=10, vector length=1024) + match on field 'content' (boost=1.0) for question='what is the process for completing form-120141 during a market or consignment transfer, and can any of the steps happen at the same time?'
2026-08-18 18:40:35 | INFO     | opensearch | POST https://mc9xamsc1uiy9cxgnwt9.aoss.ap-southeast-1.on.aws:443/kms-index-sop-oz/_search [status:200 request:0.207s]
2026-08-18 18:40:35 | INFO     | app.vectordb.opensearch_client | [a7c99688] [opensearch_client] Top score in candidate pool: 18.2648 (use this to calibrate config.MIN_ABSOLUTE_SCORE - NOTE: this is a raw, unbounded score again, not the 0-1 normalized score from the brief normalized-hybrid-search experiment, so any MIN_ABSOLUTE_SCORE value calibrated against that 0-1 scale is no longer valid)
2026-08-18 18:40:35 | INFO     | app.vectordb.opensearch_client | [a7c99688] [opensearch_client] DIAGNOSTIC - top-level keys actually present on this document: ['document_name', 'metadata', 'section', 'page', 'document_id', 'chunk_id', 'chunk_type', 'content']
2026-08-18 18:40:35 | INFO     | app.vectordb.opensearch_client | [a7c99688] [opensearch_client] Hybrid search returned 5 relevant chunk(s) (of 10 candidate(s) fetched)
2026-08-18 18:40:35 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [retrieve_node] Retrieved 5 chunk(s) from OpenSearch
2026-08-18 18:40:35 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [retrieve_node]     1. document='SOP - EU consignment Transfers' page=13 section='5.2.' - 'Step Responsible Action step Role 1 Steps 2 to 9 Can proceed simultaneously 2 Receiving Obtain appropriate COA/COC marke'
2026-08-18 18:40:35 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [retrieve_node]     2. document='SOP - EU consignment Transfers' page=8 section='5.2.' - 'Step Responsible Role Action step 1 Steps 2 to 9 Can proceed simultaneously 2 Receiving market Obtain appropriate COA/CO'
2026-08-18 18:40:35 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [retrieve_node]     3. document='SOP - EU consignment Transfers' page=10 section='5.2.' - 'Step Responsible Action step Role 1 Steps 2 to 9 Can proceed simultaneously 2 Receiving Obtain appropriate COA/COC marke'
2026-08-18 18:40:35 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [retrieve_node]     4. document='SOP - EU consignment Transfers' page=10 section='5.2.' - '[TABLE START] +------+----------------------------------------------------+---------------------------------------------'
2026-08-18 18:40:35 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [retrieve_node]     5. document='SOP - PEBV market transfers ' page=9 section='5.2.' - 'Step Responsible Action step Role 1 Receiving Obtain appropriate COA/COC or request market to provide market (LMR) chang'
2026-08-18 18:40:35 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [detect_conflict_node] Checking for a genuine conflict...
2026-08-18 18:40:41 | INFO     | app.llm.bedrock_client | [a7c99688] [bedrock_client] Claude call took 5.72s, stop_reason='end_turn'
2026-08-18 18:40:41 | INFO     | app.llm.bedrock_client | [a7c99688] [bedrock_client] conflict_detected=False
2026-08-18 18:40:41 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [generate_single_node] Generating single answer...
2026-08-18 18:40:58 | INFO     | app.llm.bedrock_client | [a7c99688] [bedrock_client] Claude call took 17.45s, stop_reason='end_turn'
2026-08-18 18:40:58 | INFO     | app.graph.nodes.rag_nodes | [a7c99688] [generate_single_node] Claude's answer: {'description': 'The process for completing FORM-120141 (the EU Consignment Transfer Request Document, or TRD) differs slightly depending on whether the transfer is a general EU consignment transfer or a PEBV market transfer, though the core actions are similar. For an EU Consignment Transfer, steps 2 through 9 of the overall process are explicitly noted as able to proceed simultaneously, which includes the FORM-120141 completion and signature steps. For a PEBV market transfer, the same general sequence of obtaining supporting documentation, completing the form, and having it reviewed is followed, but the retrieved guidance for that process does not indicate that steps can run in parallel.', 'header': 'Completing FORM-120141 During a Transfer', 'subheader': 'EU Consignment Transfer vs. PEBV Market Transfer', 'references': ['SOP - EU consignment Transfers', 'SOP - PEBV market transfers '], 'documentids': ['SOP-123693', 'SOP-139026'], 'followupquestions': ['What happens after FORM-120141 is completed and signed?', 'What should be done if a SKU is not in the correct SAP flex routing?', 'What is required for the Pedigree Form (FORM-120142) in an EU Consignment Transfer?'], 'steps': [{'EU Consignment Transfer (steps 2-9 can proceed simultaneously)': [['The Local Market Representative (LMR) of the receiving market obtains the appropriate COA/COC'], ['The LMR completes FORM-120141 and requests all required signatures in MSB together, with the relevant Entity Quality Authority signing last after all other signatures are complete'], ['The GCF for the receiving market assists with completing the TRD and adds the relevant data to the tracker on PEBV GNOSIS so a reference number can be obtained and entered into FORM-120141'], ["The GCF for the receiving market performs a SAP flex routing check; if the SKU is not in the appropriate routing, an ICMD ticket is opened to add the SKU or resolve MDC errors, adding partner code Z925980 as 'Goods Supplier' if a new routing is required"]]}, {'PEBV Market Transfer': [['The LMR of the receiving market obtains the appropriate COA/COC or requests a change control document from EQMS'], ['The LMR completes FORM-120141 and requests all required signatures in MSB together, with the relevant Entity Quality Authority signing last'], ['The GCF CSR for the receiving market assists with completing the TRD and adds the relevant data to the tracker so a reference number can be obtained and entered into FORM-120141'], ["The GCF CSR for the receiving market performs a SAP flex routing check; if the SKU is not in the appropriate routing, an NSMD ticket is opened to resolve the issue, adding partner code Z925980 as 'Goods Supplier' if a new routing is required"]]}]}
2026-08-18 18:40:58 | INFO     | app.api.routes.chat | [a7c99688] Request completed successfully in 24.74s
INFO:     10.116.90.15:63632 - "POST /agent/v1/orchestrate/chat HTTP/1.1" 200 OK
2026-08-18 18:42:14 | INFO     | app.api.routes.chat | [1836de13] Received question: 'when obtaining the COA/COC for a transfer, is there more than one way to source it?'
2026-08-18 18:42:14 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [retrieve_node] Question received: when obtaining the COA/COC for a transfer, is there more than one way to source it?
2026-08-18 18:42:15 | INFO     | botocore.credentials | Found credentials from IAM Role: CUSPFE-S3ListPolicyKMSRole
2026-08-18 18:42:15 | INFO     | app.vectordb.opensearch_client | [opensearch_client] Calling AWS as identity: Account=892880329963 Arn=arn:aws:sts::892880329963:assumed-role/CUSPFE-S3ListPolicyKMSRole/i-06d7279ee5a63fa0b
2026-08-18 18:42:15 | INFO     | app.vectordb.opensearch_client | [opensearch_client] Connection settings: HOST=mc9xamsc1uiy9cxgnwt9.aoss.ap-southeast-1.on.aws PORT=443 INDEX=kms-index-sop-oz SERVICE=aoss REGION=ap-southeast-1
2026-08-18 18:42:15 | INFO     | app.vectordb.opensearch_client | [1836de13] [opensearch_client] Searching index: 'kms-index-sop-oz'
2026-08-18 18:42:15 | INFO     | app.vectordb.opensearch_client | [1836de13] [opensearch_client] Hybrid query: knn on field 'embedding' (k=10, vector length=1024) + match on field 'content' (boost=1.0) for question='when obtaining the COA/COC for a transfer, is there more than one way to source it?'
2026-08-18 18:42:15 | INFO     | opensearch | POST https://mc9xamsc1uiy9cxgnwt9.aoss.ap-southeast-1.on.aws:443/kms-index-sop-oz/_search [status:200 request:0.209s]
2026-08-18 18:42:15 | INFO     | app.vectordb.opensearch_client | [1836de13] [opensearch_client] Top score in candidate pool: 11.6569 (use this to calibrate config.MIN_ABSOLUTE_SCORE - NOTE: this is a raw, unbounded score again, not the 0-1 normalized score from the brief normalized-hybrid-search experiment, so any MIN_ABSOLUTE_SCORE value calibrated against that 0-1 scale is no longer valid)
2026-08-18 18:42:15 | INFO     | app.vectordb.opensearch_client | [1836de13] [opensearch_client] DIAGNOSTIC - top-level keys actually present on this document: ['document_name', 'metadata', 'section', 'page', 'document_id', 'chunk_id', 'chunk_type', 'content']
2026-08-18 18:42:15 | INFO     | app.vectordb.opensearch_client | [1836de13] [opensearch_client] Hybrid search returned 5 relevant chunk(s) (of 10 candidate(s) fetched)
2026-08-18 18:42:15 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [retrieve_node] Retrieved 5 chunk(s) from OpenSearch
2026-08-18 18:42:15 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [retrieve_node]     1. document='WI - How to manage shipment in SAP FLEX ZPMON' page=10 section='4.2. And select the Daily Check' - 'Column name Meaning How to use it? TXN No. Number of the transaction N/A Run No. Run number of a transaction (if there a'
2026-08-18 18:42:15 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [retrieve_node]     2. document='SOP - Logistic Center End-to-End Order Processing' page=10 section='4.4. Business Process Types' - 'intermediate warehouse in which stock is held under Pfizer ownership, however the facility is owned by a third party. Sa'
2026-08-18 18:42:15 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [retrieve_node]     3. document='WI - Cross Dock and Stock  in – Stock out  transactions  managed by  Customer Service at  Logistics Center Panama' page=11 section='5. Procedure' - 'contact (export analyst). This form should be attached to the cargo all the time. All shipments need a Certificate of An'
2026-08-18 18:42:15 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [retrieve_node]     4. document='SOP - Logistic Center End-to-End Order Processing' page=10 section='4.4. Business Process Types' - '[TABLE START] +-------------------+-------------------------------------------------------------------------------------'
2026-08-18 18:42:15 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [retrieve_node]     5. document='SOP - Order processing of in-stock-out (ISO) orders shipped from Logistics Service Provider (LSP) Essers (Belgium) and UPS (Hungary)' page=12 section='4.7.1. LSP pre-expedition zone (Essers)' - 'Once goods are packed and prepared for onward shipment, they are stored in a designated area known as the pre-expedition'
2026-08-18 18:42:15 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [detect_conflict_node] Checking for a genuine conflict...
2026-08-18 18:42:18 | INFO     | app.llm.bedrock_client | [1836de13] [bedrock_client] Claude call took 2.23s, stop_reason='end_turn'
2026-08-18 18:42:18 | INFO     | app.llm.bedrock_client | [1836de13] [bedrock_client] conflict_detected=False
2026-08-18 18:42:18 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [generate_single_node] Generating single answer...
2026-08-18 18:42:26 | INFO     | app.llm.bedrock_client | [1836de13] [bedrock_client] Claude call took 8.60s, stop_reason='end_turn'
2026-08-18 18:42:26 | INFO     | app.graph.nodes.rag_nodes | [1836de13] [generate_single_node] Claude's answer: {'description': "Based on the retrieved documentation, only one method for sourcing the Certificate of Analysis (COA) is described. All shipments require a COA, and it is expected to be included with the shipment documentation before the cargo arrives. If it is missing at that point, Customer Service is responsible for requesting it directly from the contact at the source plant. The context does not mention any alternative sourcing channels or methods beyond this, so if you're asking about a different scenario (such as sourcing a COC specifically, or a different transfer type), the available documentation doesn't cover that distinction.", 'header': 'Sourcing the COA for a Shipment/Transfer', 'subheader': '', 'references': ['WI - Cross Dock and Stock  in – Stock out  transactions  managed by  Customer Service at  Logistics Center Panama'], 'documentids': ['SOP-110381'], 'followupquestions': ['What happens if the COA is still missing after requesting it from the source plant?', 'What is required if a shipment needs a re-exportation certificate of origin?'], 'steps': []}
2026-08-18 18:42:26 | INFO     | app.api.routes.chat | [1836de13] Request completed successfully in 12.36s
INFO:     10.116.90.15:65384 - "POST /agent/v1/orchestrate/chat HTTP/1.1" 200 OK
